simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,50,7622549244507814510,0,41,41,193,2,4,1,10
2,50,-176823638348867382,0,28,28,196,1,10,4,23
3,50,4653291594555506559,0,29,29,198,5,5,2,14
4,50,-5429547764223392703,0,33,33,188,2,4,2,8
5,50,1354699720820100286,0,42,42,182,2,7,5,18
6,50,-8558099095430985091,0,24,24,188,2,3,1,7
7,50,7566729063232618657,0,40,40,178,2,11,8,29
8,50,-8796280036588025189,0,28,28,187,2,5,3,19
9,50,-1904176087077157359,0,32,32,178,2,7,3,14
10,50,-5950808297819701377,0,25,25,188,6,2,2,6
11,50,8202580055274905697,0,30,30,185,3,3,2,6
12,50,2069697956329713381,0,28,28,173,6,3,2,3
13,50,2331882227666649723,0,38,38,188,3,4,2,9
14,50,-6907155114764864074,0,22,22,202,6,3,2,7
15,50,5743542032431768924,0,21,21,182,6,5,4,15
16,50,1754090216629634460,0,27,27,180,1,6,4,17
17,50,3000933636146778561,0,37,37,193,4,4,2,10
18,50,-818370409442154536,0,22,22,190,4,15,12,29
19,50,-6494085369291419358,0,31,31,190,2,9,7,16
20,50,-4831476700427871918,0,30,30,184,4,2,1,8
21,50,-7164822578341529121,0,15,15,188,4,4,2,6
22,50,-6681209751587204111,0,30,30,185,2,9,6,15
23,50,-2785428037848741191,0,29,29,188,2,7,4,14
24,50,4092339821109795117,0,42,42,187,4,3,2,8
25,50,3063383483373029763,0,27,27,183,6,4,3,12
26,50,3373133630133326305,0,31,31,186,7,5,4,12
27,50,493181087642310936,0,37,37,179,2,6,5,14
28,50,-1746716152221018267,0,43,43,181,1,2,1,7
29,50,446462409193912975,0,31,31,188,2,5,2,11
30,50,1193011675842738652,0,16,16,196,3,9,6,21
31,50,4831360065858792877,0,39,39,198,1,6,3,18
32,50,8575571794862233545,0,32,32,196,8,2,1,4
33,50,345942164528489626,0,34,34,186,1,5,3,15
34,50,7448151043156876008,0,37,37,186,1,5,2,15
35,50,5239964932791844568,0,34,34,189,8,3,3,7
36,50,-9173191548526301637,0,37,37,190,2,6,3,9
37,50,-2161688254686019728,0,31,31,191,2,3,1,6
38,50,-4645889046326623902,0,28,28,189,1,9,4,21
39,50,-4846666793570864531,0,27,27,183,2,9,6,24
40,50,8504972586755124527,0,31,31,180,2,3,1,8
41,50,2012197841368315278,0,29,29,183,2,5,3,12
42,50,-6052823257482687111,0,32,32,190,4,6,5,15
43,50,8951238588419643446,0,25,25,196,2,6,2,13
44,50,8373285886730576944,0,40,40,193,1,5,3,11
45,50,-6024011126309681497,0,22,22,182,4,4,2,11
46,50,-3199751378429683278,0,40,40,192,5,3,2,9
47,50,-205079082719447953,0,37,37,189,3,5,3,11
48,50,-1230956723516543396,0,21,21,187,3,3,1,3
49,50,9009170572123666977,0,43,43,189,1,6,2,12
50,50,502512276757557602,0,37,37,175,4,6,5,19
51,50,-6468460926580581816,0,37,37,186,8,3,2,7
52,50,-1041959172619497245,0,44,44,179,4,4,3,10
53,50,-3176141123837156967,0,30,30,195,4,3,2,6
54,50,-1250743467814938825,0,32,32,186,1,6,2,20
55,50,2802790474057045607,0,20,20,194,1,4,1,9
56,50,1594636887908444555,0,31,31,194,2,3,1,3
57,50,2247049277431032667,0,29,29,189,1,3,1,7
58,50,-2141993941735040080,0,38,38,190,5,2,1,5
59,50,4950414587910089059,0,33,33,189,4,9,7,16
