simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,2,7622549244507814510,0,0,0,5,2,3,1,10
2,2,-176823638348867382,0,0,0,5,8,3,1,10
3,2,4653291594555506559,0,0,0,5,7,3,1,10
4,2,-5429547764223392703,0,0,0,7,3,4,1,10
5,2,1354699720820100286,0,0,0,7,2,4,1,10
6,2,-8558099095430985091,0,0,0,7,5,4,1,10
7,2,7566729063232618657,0,0,0,5,2,3,1,10
8,2,-8796280036588025189,0,1,1,6,1,3,1,10
9,2,-1904176087077157359,0,0,0,7,5,4,1,10
10,2,-5950808297819701377,0,1,1,10,1,5,1,10
11,2,8202580055274905697,0,0,0,3,5,2,1,10
12,2,2069697956329713381,0,0,0,5,6,3,1,10
13,2,2331882227666649723,0,0,0,5,4,3,1,10
14,2,-6907155114764864074,0,0,0,7,3,4,1,10
15,2,5743542032431768924,0,0,0,5,4,3,1,10
16,2,1754090216629634460,0,0,0,7,1,4,1,10
17,2,3000933636146778561,0,0,0,5,6,3,1,10
18,2,-818370409442154536,0,1,1,6,7,3,1,10
19,2,-6494085369291419358,0,1,1,6,3,3,1,10
20,2,-4831476700427871918,0,0,0,7,1,4,1,10
21,2,-7164822578341529121,0,0,0,5,4,3,1,10
22,2,-6681209751587204111,0,0,0,5,4,3,1,10
23,2,-2785428037848741191,0,0,0,5,8,3,1,10
24,2,4092339821109795117,0,1,1,6,4,3,1,10
25,2,3063383483373029763,0,0,0,5,5,3,1,10
26,2,3373133630133326305,0,0,0,7,4,4,1,10
27,2,493181087642310936,0,0,0,7,3,4,1,10
28,2,-1746716152221018267,0,0,0,3,5,2,1,10
29,2,446462409193912975,0,0,0,7,1,4,1,10
30,2,1193011675842738652,0,1,1,6,2,3,1,10
31,2,4831360065858792877,0,0,0,7,4,4,1,10
32,2,8575571794862233545,0,1,1,6,3,3,1,10
33,2,345942164528489626,0,0,0,5,4,3,1,10
34,2,7448151043156876008,0,0,0,7,3,4,1,10
35,2,5239964932791844568,0,1,1,6,2,3,1,10
36,2,-9173191548526301637,0,1,1,6,1,3,1,10
37,2,-2161688254686019728,0,1,1,8,1,4,1,10
38,2,-4645889046326623902,0,1,1,6,1,3,1,10
39,2,-4846666793570864531,0,0,0,5,2,3,1,10
40,2,8504972586755124527,0,0,0,5,6,3,1,10
41,2,2012197841368315278,0,0,0,5,2,3,1,10
42,2,-6052823257482687111,0,1,1,6,2,3,1,10
43,2,8951238588419643446,0,0,0,5,6,3,1,10
44,2,8373285886730576944,0,0,0,7,1,4,1,10
45,2,-6024011126309681497,0,0,0,5,4,3,1,10
46,2,-3199751378429683278,0,0,0,5,5,3,1,10
47,2,-205079082719447953,0,0,0,5,6,3,1,10
48,2,-1230956723516543396,0,0,0,5,2,3,1,10
49,2,9009170572123666977,0,0,0,5,6,3,1,10
50,2,502512276757557602,0,1,1,8,2,4,1,10
51,2,-6468460926580581816,0,1,1,6,1,3,1,10
52,2,-1041959172619497245,0,0,0,7,1,4,1,10
53,2,-3176141123837156967,0,0,0,5,4,3,1,10
54,2,-1250743467814938825,0,0,0,5,6,3,1,10
55,2,2802790474057045607,0,0,0,7,3,4,1,10
56,2,1594636887908444555,0,0,0,9,3,5,1,10
57,2,2247049277431032667,0,1,1,6,5,3,1,10
58,2,-2141993941735040080,0,0,0,5,5,3,1,10
59,2,4950414587910089059,0,1,1,6,6,3,1,10
60,2,4024558437153402159,0,1,1,6,5,3,1,10
61,2,8460830073364808938,0,0,0,7,1,4,1,10
62,2,-8861481111054564448,0,0,0,7,1,4,1,10
63,2,5151774012177519178,0,0,0,5,4,3,1,10
64,2,6091217547875219003,0,0,0,5,4,3,1,10
65,2,-2747216630518444674,0,0,0,5,5,3,1,10
66,2,-3120053898601644369,0,0,0,7,4,4,1,10
67,2,3034305960001825052,0,0,0,5,6,3,1,10
68,2,530950165320721202,0,0,0,7,2,4,1,10
69,2,-3239810975889385343,0,1,1,6,4,3,1,10
70,2,8355546087979150809,0,0,0,7,2,4,1,10
71,2,-469783043654121139,0,0,0,5,6,3,1,10
72,2,-8860139790373583575,0,1,1,6,3,3,1,10
73,2,3078272170296328209,0,1,1,6,1,3,1,10
74,2,1861223411033487853,0,0,0,5,1,3,1,10
75,2,6371430372172172359,0,0,0,7,7,4,1,10
76,2,558336081978973769,0,1,1,8,2,4,1,10
77,2,-4684935535263414398,0,1,1,8,4,4,1,10
78,2,4274643094731897359,0,0,0,5,3,3,1,10
79,2,-974467266348133402,0,1,1,6,2,3,1,10
80,2,2876010997474373712,0,1,1,6,2,3,1,10
81,2,2556742473257242073,0,0,0,5,2,3,1,10
82,2,3881636367721409078,0,0,0,5,3,3,1,10
83,2,-4283235462372645638,0,0,0,5,3,3,1,10
84,2,-5435618743545341167,0,1,1,6,4,3,1,10
85,2,8287095643659210833,0,0,0,7,5,4,1,10
86,2,8922802869860413870,0,0,0,7,2,4,1,10
87,2,-8768726520343391800,0,0,0,5,8,3,1,10
88,2,4372297092407986927,0,0,0,5,4,3,1,10
89,2,1825614279441251546,0,1,1,6,1,3,1,10
90,2,-8762036456603649640,0,0,0,5,3,3,1,10
91,2,3126602431026017417,0,0,0,5,4,3,1,10
92,2,-6850303691888806042,0,1,1,6,1,3,1,10
93,2,-8236622947874188139,0,0,0,5,6,3,1,10
94,2,-7308026951116254363,0,0,0,7,2,4,1,10
95,2,7503361998593243626,0,1,1,6,1,3,1,10
96,2,-5497387776322637437,0,0,0,7,1,4,1,10
97,2,-1268344063882912167,0,0,0,5,5,3,1,10
98,2,-4537393245351792801,0,1,1,4,7,2,1,10
99,2,7007109389799046027,0,1,1,6,2,3,1,10
100,2,2541384518595445350,0,0,0,9,2,5,1,10
101,2,3350996714279151922,0,0,0,7,2,4,1,10
102,2,-6122081210866785503,0,1,1,6,1,3,1,10
