simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,100,7622549244507814510,0,66,66,393,1,5,2,14
2,100,-176823638348867382,0,55,55,379,5,1,1,1
3,100,4653291594555506559,0,51,51,381,2,4,2,11
4,100,-5429547764223392703,0,64,64,382,1,5,2,8
5,100,1354699720820100286,0,81,81,373,3,4,1,9
6,100,-8558099095430985091,0,57,57,373,1,6,3,15
7,100,7566729063232618657,0,40,40,370,4,10,8,21
8,100,-8796280036588025189,0,64,64,378,4,4,3,6
9,100,-1904176087077157359,0,65,65,373,2,4,2,9
10,100,-5950808297819701377,0,57,57,373,2,4,3,8
11,100,8202580055274905697,0,70,70,366,8,3,3,8
12,100,2069697956329713381,0,62,62,358,6,5,3,18
13,100,2331882227666649723,0,71,71,377,3,4,2,13
14,100,-6907155114764864074,0,80,80,391,3,6,3,8
15,100,5743542032431768924,0,37,37,373,1,4,1,11
16,100,1754090216629634460,0,61,61,363,2,2,1,9
17,100,3000933636146778561,0,72,72,387,6,3,2,6
18,100,-818370409442154536,0,68,68,382,2,4,1,10
19,100,-6494085369291419358,0,62,62,372,4,3,2,7
20,100,-4831476700427871918,0,73,73,373,3,7,5,19
21,100,-7164822578341529121,0,54,54,378,6,2,1,4
22,100,-6681209751587204111,0,73,73,372,1,7,5,17
23,100,-2785428037848741191,0,90,90,380,1,7,4,23
24,100,4092339821109795117,0,84,84,379,2,7,3,17
25,100,3063383483373029763,0,80,80,366,1,6,4,16
26,100,3373133630133326305,0,72,72,369,3,3,1,6
27,100,493181087642310936,0,78,78,363,1,8,4,20
28,100,-1746716152221018267,0,79,79,374,5,3,1,6
29,100,446462409193912975,0,61,61,373,5,5,4,5
30,100,1193011675842738652,0,63,63,382,4,7,4,19
31,100,4831360065858792877,0,78,78,383,4,3,1,9
32,100,8575571794862233545,0,57,57,396,5,5,3,12
33,100,345942164528489626,0,70,70,373,2,8,5,18
34,100,7448151043156876008,0,66,66,373,2,6,4,15
35,100,5239964932791844568,0,61,61,378,3,3,1,10
36,100,-9173191548526301637,0,87,87,381,2,6,3,12
37,100,-2161688254686019728,0,57,57,382,4,3,1,7
38,100,-4645889046326623902,0,67,67,389,2,4,1,16
39,100,-4846666793570864531,0,49,49,368,8,4,3,13
40,100,8504972586755124527,0,74,74,364,2,5,1,9
41,100,2012197841368315278,0,57,57,367,7,4,3,11
42,100,-6052823257482687111,0,73,73,383,1,6,3,19
43,100,8951238588419643446,0,59,59,378,2,4,1,12
44,100,8373285886730576944,0,72,72,388,1,3,1,6
45,100,-6024011126309681497,0,63,63,381,2,4,1,8
46,100,-3199751378429683278,0,58,58,393,1,5,2,14
47,100,-205079082719447953,0,77,77,390,1,5,2,13
48,100,-1230956723516543396,0,70,70,373,6,7,6,17
49,100,9009170572123666977,0,72,72,371,4,4,3,5
50,100,502512276757557602,0,88,88,352,1,8,6,20
51,100,-6468460926580581816,0,43,43,378,2,5,2,11
52,100,-1041959172619497245,0,88,88,371,1,4,1,9
53,100,-3176141123837156967,0,52,52,388,4,2,1,4
54,100,-1250743467814938825,0,67,67,375,2,6,4,14
55,100,2802790474057045607,0,73,73,381,1,3,1,7
56,100,1594636887908444555,0,64,64,392,4,4,2,5
57,100,2247049277431032667,0,56,56,372,2,4,2,11
58,100,-2141993941735040080,0,71,71,371,2,4,1,9
59,100,4950414587910089059,0,57,57,364,2,4,2,12
60,100,4024558437153402159,0,78,78,379,2,7,5,15
61,100,8460830073364808938,0,43,43,384,4,6,4,11
62,100,-8861481111054564448,0,74,74,375,2,4,3,12
63,100,5151774012177519178,0,54,54,388,3,9,4,20
64,100,6091217547875219003,0,67,67,381,1,9,5,21
65,100,-2747216630518444674,0,68,68,367,5,4,2,12
66,100,-3120053898601644369,0,39,39,388,2,5,1,15
67,100,3034305960001825052,0,75,75,376,2,3,1,9
68,100,530950165320721202,0,69,69,379,8,1,1,5
69,100,-3239810975889385343,0,73,73,392,1,5,3,14
70,100,8355546087979150809,0,57,57,379,3,4,2,15
71,100,-469783043654121139,0,80,80,374,3,3,2,11
72,100,-8860139790373583575,0,67,67,366,4,7,4,17
73,100,3078272170296328209,0,76,76,355,4,3,2,11
74,100,1861223411033487853,0,74,74,366,4,2,1,7
75,100,6371430372172172359,0,76,76,360,3,6,4,15
76,100,558336081978973769,0,67,67,365,1,4,2,8
77,100,-4684935535263414398,0,57,57,382,3,6,3,11
78,100,4274643094731897359,0,67,67,369,3,7,6,11
79,100,-974467266348133402,0,66,66,383,6,3,1,8
80,100,2876010997474373712,0,82,82,380,3,4,2,15
81,100,2556742473257242073,0,65,65,365,6,5,4,15
82,100,3881636367721409078,0,48,48,398,1,10,5,18
83,100,-4283235462372645638,0,58,58,377,4,3,2,8
84,100,-5435618743545341167,0,60,60,378,5,4,3,10
85,100,8287095643659210833,0,71,71,385,1,9,6,23
86,100,8922802869860413870,0,57,57,373,8,4,3,10
87,100,-8768726520343391800,0,76,76,394,3,6,3,9
88,100,4372297092407986927,0,79,79,385,2,4,1,13
89,100,1825614279441251546,0,53,53,371,4,5,2,14
90,100,-8762036456603649640,0,44,44,369,3,6,4,14
91,100,3126602431026017417,0,65,65,361,1,6,4,22
92,100,-6850303691888806042,0,46,46,361,3,3,1,8
93,100,-8236622947874188139,0,62,62,383,5,6,3,10
94,100,-7308026951116254363,0,54,54,386,2,9,6,18
95,100,7503361998593243626,0,93,93,364,6,6,5,12
96,100,-5497387776322637437,0,50,50,370,6,4,2,12
97,100,-1268344063882912167,0,58,58,383,2,2,1,5
98,100,-4537393245351792801,0,32,32,365,5,5,2,6
99,100,7007109389799046027,0,67,67,380,1,9,6,27
100,100,2541384518595445350,0,50,50,375,1,6,3,19
101,100,3350996714279151922,0,78,78,388,4,4,2,9
102,100,-6122081210866785503,0,42,42,384,2,6,4,11
103,100,3642725993278335616,0,54,54,370,4,9,7,26
104,100,-6310069696443000377,0,90,90,378,2,12,7,31
105,100,1047077068562554588,0,68,68,357,7,2,1,6
106,100,-6852892927081889767,0,56,56,372,6,6,3,9
107,100,-4257256642702636589,0,74,74,379,4,3,2,4
108,100,-5029367128408372113,0,70,70,381,2,5,3,15
109,100,7607616885527668300,0,53,53,375,6,3,1,8
110,100,26434227140393485,0,71,71,375,3,7,4,17
111,100,9209768725001713919,0,90,90,373,4,5,3,10
112,100,-3085924346636983622,0,64,64,378,3,6,3,12
113,100,8675964771217511976,0,57,57,372,3,4,1,6
114,100,4907356856337128851,0,61,61,380,2,3,2,5
