simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,200,7622549244507814510,0,125,125,777,2,6,4,14
2,200,-176823638348867382,0,133,133,769,3,4,2,11
3,200,4653291594555506559,0,150,150,741,3,4,2,14
4,200,-5429547764223392703,0,140,140,764,1,3,1,4
5,200,1354699720820100286,0,154,154,749,1,10,7,24
6,200,-8558099095430985091,0,116,116,754,3,4,2,7
7,200,7566729063232618657,0,162,162,744,1,4,2,15
8,200,-8796280036588025189,0,147,147,762,3,3,1,6
9,200,-1904176087077157359,0,133,133,751,6,3,1,7
10,200,-5950808297819701377,0,138,138,746,1,6,3,17
11,200,8202580055274905697,0,140,140,752,2,7,4,20
12,200,2069697956329713381,0,150,150,742,4,3,2,4
13,200,2331882227666649723,0,136,136,744,2,4,1,9
14,200,-6907155114764864074,0,140,140,786,1,6,3,18
15,200,5743542032431768924,0,97,97,743,6,5,3,20
16,200,1754090216629634460,0,129,129,738,3,2,1,8
17,200,3000933636146778561,0,147,147,766,1,7,3,15
18,200,-818370409442154536,0,140,140,743,3,6,5,14
19,200,-6494085369291419358,0,122,122,755,1,5,2,12
20,200,-4831476700427871918,0,127,127,763,1,8,6,20
21,200,-7164822578341529121,0,144,144,751,2,3,1,9
22,200,-6681209751587204111,0,140,140,742,4,6,4,19
23,200,-2785428037848741191,0,157,157,759,3,5,3,10
24,200,4092339821109795117,0,149,149,759,1,9,7,17
25,200,3063383483373029763,0,117,117,755,3,3,1,7
26,200,3373133630133326305,0,148,148,767,4,3,2,8
27,200,493181087642310936,0,143,143,745,1,10,7,16
28,200,-1746716152221018267,0,157,157,735,6,5,3,15
29,200,446462409193912975,0,104,104,745,8,2,2,6
30,200,1193011675842738652,0,117,117,748,1,6,4,15
31,200,4831360065858792877,0,147,147,769,1,3,2,6
32,200,8575571794862233545,0,139,139,763,3,6,3,15
33,200,345942164528489626,0,115,115,747,1,5,2,11
34,200,7448151043156876008,0,149,149,741,5,5,4,15
35,200,5239964932791844568,0,97,97,752,1,7,3,15
36,200,-9173191548526301637,0,162,162,755,6,2,1,6
37,200,-2161688254686019728,0,123,123,759,4,5,3,12
38,200,-4645889046326623902,0,154,154,773,3,3,1,7
39,200,-4846666793570864531,0,82,82,743,1,4,2,14
40,200,8504972586755124527,0,129,129,745,3,3,1,10
41,200,2012197841368315278,0,132,132,751,2,3,2,12
42,200,-6052823257482687111,0,139,139,770,1,7,5,17
43,200,8951238588419643446,0,143,143,760,4,5,3,9
44,200,8373285886730576944,0,157,157,769,1,6,2,14
45,200,-6024011126309681497,0,140,140,748,7,3,1,9
46,200,-3199751378429683278,0,144,144,775,2,6,4,12
47,200,-205079082719447953,0,140,140,762,2,4,1,8
48,200,-1230956723516543396,0,113,113,742,1,4,1,10
49,200,9009170572123666977,0,146,146,754,3,3,2,10
50,200,502512276757557602,0,174,174,736,1,6,4,13
51,200,-6468460926580581816,0,156,156,770,2,5,2,8
52,200,-1041959172619497245,0,158,158,758,4,5,3,5
53,200,-3176141123837156967,0,155,155,768,1,5,2,17
54,200,-1250743467814938825,0,140,140,738,2,3,2,5
55,200,2802790474057045607,0,152,152,750,9,2,2,6
56,200,1594636887908444555,0,89,89,755,5,5,4,9
57,200,2247049277431032667,0,107,107,741,2,3,2,6
58,200,-2141993941735040080,0,123,123,755,2,8,4,21
59,200,4950414587910089059,0,127,127,756,1,5,2,9
60,200,4024558437153402159,0,135,135,738,1,6,3,15
61,200,8460830073364808938,0,140,140,752,4,6,3,11
62,200,-8861481111054564448,0,154,154,743,3,13,11,40
63,200,5151774012177519178,0,129,129,767,2,4,2,13
64,200,6091217547875219003,0,135,135,760,1,5,3,9
65,200,-2747216630518444674,0,139,139,743,5,8,6,19
66,200,-3120053898601644369,0,151,151,776,2,8,6,10
67,200,3034305960001825052,0,121,121,741,2,3,1,3
68,200,530950165320721202,0,113,113,753,5,7,6,15
69,200,-3239810975889385343,0,124,124,773,6,1,1,2
70,200,8355546087979150809,0,131,131,738,2,4,2,14
71,200,-469783043654121139,0,148,148,744,3,7,4,16
72,200,-8860139790373583575,0,170,170,744,4,5,3,19
73,200,3078272170296328209,0,159,159,718,2,5,2,11
74,200,1861223411033487853,0,167,167,742,1,3,1,13
75,200,6371430372172172359,0,162,162,730,4,5,3,14
76,200,558336081978973769,0,162,162,746,5,3,1,7
77,200,-4684935535263414398,0,137,137,764,4,6,3,14
78,200,4274643094731897359,0,143,143,735,4,3,2,9
79,200,-974467266348133402,0,154,154,755,1,6,4,13
80,200,2876010997474373712,0,163,163,768,3,4,1,12
81,200,2556742473257242073,0,124,124,747,3,4,1,11
82,200,3881636367721409078,0,158,158,779,8,2,1,4
83,200,-4283235462372645638,0,114,114,752,1,5,2,10
84,200,-5435618743545341167,0,141,141,753,2,4,2,7
85,200,8287095643659210833,0,147,147,745,1,5,2,12
86,200,8922802869860413870,0,116,116,753,5,2,1,2
87,200,-8768726520343391800,0,147,147,778,3,4,1,11
88,200,4372297092407986927,0,158,158,764,4,4,2,10
89,200,1825614279441251546,0,136,136,750,1,5,2,16
90,200,-8762036456603649640,0,153,153,744,1,5,3,10
91,200,3126602431026017417,0,123,123,743,2,5,3,11
92,200,-6850303691888806042,0,142,142,735,2,3,1,9
93,200,-8236622947874188139,0,136,136,760,1,4,3,6
94,200,-7308026951116254363,0,135,135,766,1,3,2,10
95,200,7503361998593243626,0,145,145,738,5,4,2,10
96,200,-5497387776322637437,0,110,110,748,4,5,3,13
97,200,-1268344063882912167,0,124,124,767,3,3,1,8
98,200,-4537393245351792801,0,169,169,731,1,4,1,10
99,200,7007109389799046027,0,137,137,754,6,4,2,10
100,200,2541384518595445350,0,131,131,746,2,2,1,6
101,200,3350996714279151922,0,172,172,758,2,4,1,14
102,200,-6122081210866785503,0,126,126,772,6,4,3,10
103,200,3642725993278335616,0,121,121,756,1,5,3,12
104,200,-6310069696443000377,0,175,175,768,1,5,2,10
105,200,1047077068562554588,0,139,139,756,2,3,2,5
106,200,-6852892927081889767,0,149,149,772,1,4,2,7
107,200,-4257256642702636589,0,147,147,772,1,4,2,8
108,200,-5029367128408372113,0,148,148,763,2,6,4,12
109,200,7607616885527668300,0,142,142,752,1,5,3,9
110,200,26434227140393485,0,125,125,764,1,9,5,18
111,200,9209768725001713919,0,147,147,759,1,5,3,16
112,200,-3085924346636983622,0,147,147,758,1,7,4,12
113,200,8675964771217511976,0,149,149,763,2,3,1,8
114,200,4907356856337128851,0,139,139,754,3,6,4,20
115,200,-4666966213610434953,0,155,155,750,3,7,4,18
116,200,-4926837390399736036,0,118,118,761,2,10,5,26
117,200,-8336891457433127094,0,148,148,767,1,3,2,6
118,200,516544900739520151,0,145,145,756,5,3,2,5
119,200,-7283127629127876067,0,122,122,761,2,4,2,10
120,200,-1032635651569392488,0,148,148,744,4,5,3,16
121,200,7769363128375121728,0,149,149,766,4,3,2,9
122,200,-430746176916896039,0,155,155,757,3,8,5,18
123,200,8651847374258448331,0,140,140,764,1,4,2,8
124,200,2224671235021342026,0,176,176,740,6,4,3,10
125,200,-1465474966042121521,0,147,147,750,6,4,3,11
126,200,5232730891868007532,0,134,134,756,5,6,4,9
127,200,1361460470342695374,0,176,176,767,2,5,3,9
128,200,-1356467568661118753,0,130,130,749,2,3,1,9
129,200,-7614506031958753172,0,138,138,752,2,6,3,16
130,200,-8971519793056376775,0,164,164,761,5,3,2,10
131,200,3022396495612605285,0,131,131,748,2,3,1,7
132,200,8290662160158026520,0,116,116,758,1,4,1,12
133,200,3843035322279117505,0,145,145,758,6,3,2,8
134,200,-5189416922603801478,0,170,170,765,3,2,1,2
135,200,-5124300315598734522,0,105,105,776,2,2,1,4
136,200,3837517114234352203,0,158,158,738,1,4,2,11
137,200,-2950185444045550802,0,145,145,755,1,4,2,8
138,200,426757442594773823,0,158,158,749,4,3,2,5
139,200,-4820788126042546662,0,141,141,751,4,9,7,24
140,200,5946862575678741986,0,142,142,757,1,8,4,22
141,200,8974981299390694470,0,136,136,762,2,5,3,10
142,200,-6087080048868049684,0,148,148,750,4,3,1,6
143,200,-3281028519374219011,0,153,153,747,1,7,3,16
144,200,8805111005440957657,0,146,146,763,1,12,9,32
145,200,-945914340663370674,0,138,138,774,3,3,1,6
146,200,3620470311692998329,0,145,145,772,1,8,4,12
147,200,-7847918107806780417,0,124,124,748,1,7,4,16
148,200,-1981419207827807164,0,160,160,745,6,4,2,11
149,200,8917890496236750785,0,128,128,771,2,4,1,9
150,200,2436476489404250417,0,152,152,745,6,3,1,6
151,200,-8587433980523025243,0,116,116,762,1,7,5,16
152,200,-6769828358835675705,0,136,136,753,1,2,1,4
153,200,-3332833132237761586,0,145,145,747,2,8,4,12
154,200,6975984797426359987,0,152,152,779,2,7,4,12
155,200,-6059495332086747032,0,129,129,757,5,4,3,13
156,200,4452296053357995548,0,148,148,729,1,5,2,11
157,200,-4323948211146815272,0,122,122,759,2,2,1,6
158,200,3776308515824177652,0,167,167,764,2,7,4,13
159,200,-2448083839464855756,0,88,88,753,1,6,3,11
160,200,-2641245394580726895,0,121,121,739,2,4,2,12
161,200,2192876119456537845,0,144,144,756,7,3,2,10
162,200,-6690699831491533701,0,113,113,729,1,3,1,7
163,200,-8242276007236563477,0,158,158,772,6,2,1,8
164,200,-5642516344152327033,0,114,114,755,5,3,2,8
165,200,-3238749104845523344,0,164,164,758,1,6,3,18
166,200,-2814418992306178780,0,127,127,760,3,5,2,11
167,200,-5673131306224066336,0,127,127,735,1,6,3,12
168,200,29831252693456372,0,131,131,737,1,8,6,22
169,200,7016585409083752008,0,151,151,764,3,5,2,12
170,200,908195957096416926,0,141,141,754,1,6,3,13
171,200,-7531173376727640483,0,153,153,742,4,4,2,10
172,200,7209757496494277090,0,128,128,766,3,5,3,13
173,200,5291995938437694126,0,131,131,763,2,2,1,4
174,200,5880094698660718061,0,153,153,764,2,6,4,18
175,200,-7265269715823122147,0,141,141,754,7,3,2,7
176,200,-4873275261915122194,0,137,137,747,7,3,2,15
177,200,-1159345103379502709,0,158,158,756,4,5,2,18
178,200,-5555833939274768152,0,175,175,797,2,2,1,4
179,200,-6221400059438910766,0,141,141,742,4,3,1,5
180,200,-5951664687497584183,0,126,126,726,5,2,1,6
181,200,-5112357295890222344,0,155,155,724,5,2,2,6
182,200,-1298152709108151108,0,180,180,739,5,6,4,17
183,200,-6119810466464770400,0,136,136,775,4,4,1,13
184,200,2502297348298907067,0,136,136,733,5,2,1,4
185,200,5240029132549311427,0,131,131,758,1,3,1,6
186,200,2849857456777649255,0,131,131,759,1,3,1,6
187,200,5357231713588214688,0,169,169,752,3,3,1,5
188,200,2470418174820690203,0,148,148,753,4,4,3,12
189,200,-4205413717588758543,0,137,137,756,4,3,1,7
190,200,-190994909066885314,0,145,145,778,2,4,1,8
191,200,5643015977550698334,0,107,107,762,2,5,4,9
192,200,-6149718818074887976,0,147,147,760,7,5,4,18
193,200,-5292947416913470154,0,140,140,741,1,6,1,11
194,200,7725237031423721319,0,155,155,760,6,2,1,6
195,200,-5657309207377328036,0,145,145,749,5,4,3,8
196,200,5671188520636863987,0,98,98,755,4,3,2,11
197,200,-8067556877535570561,0,145,145,750,4,8,4,22
198,200,1388559965909645408,0,130,130,747,1,4,2,11
199,200,-1541781829703729011,0,144,144,756,1,10,6,27
200,200,-4692008703275938814,0,146,146,751,2,9,6,20
201,200,5921825753287209320,0,149,149,735,2,5,4,13
202,200,-7215400166977438346,0,148,148,739,2,6,4,15
203,200,7205195152113270746,0,106,106,750,2,4,2,6
204,200,8555390363154737071,0,150,150,745,4,5,3,14
205,200,-6544356438121168186,0,113,113,749,9,1,1,2
206,200,-24092370755839921,0,106,106,737,1,3,1,9
207,200,-840322277581955423,0,124,124,757,2,4,2,9
208,200,5998048010865198391,0,116,116,760,5,3,2,11
209,200,-4847606256852973793,0,152,152,781,2,4,2,11
210,200,-2380848368725129375,0,136,136,759,1,5,2,12
211,200,5147840700923570224,0,138,138,781,2,6,3,14
212,200,-1353014960296005908,0,159,159,766,2,6,3,16
213,200,-1598501290525054419,0,146,146,744,1,6,3,17
214,200,1961923140490118264,0,125,125,769,4,3,1,6
