simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,10,7622549244507814510,0,6,6,31,5,3,2,9
2,10,-176823638348867382,0,7,7,32,7,3,3,9
3,10,4653291594555506559,0,8,8,38,3,7,5,18
4,10,-5429547764223392703,0,5,5,37,1,4,2,12
5,10,1354699720820100286,0,7,7,43,4,4,2,8
6,10,-8558099095430985091,0,4,4,37,4,4,2,7
7,10,7566729063232618657,0,2,2,33,1,4,3,5
8,10,-8796280036588025189,0,2,2,35,1,3,1,12
9,10,-1904176087077157359,0,3,3,35,1,3,2,10
10,10,-5950808297819701377,0,4,4,41,4,2,1,9
11,10,8202580055274905697,0,7,7,32,1,5,3,13
12,10,2069697956329713381,0,4,4,34,9,2,2,2
13,10,2331882227666649723,0,7,7,34,2,3,1,11
14,10,-6907155114764864074,0,7,7,36,2,4,2,9
15,10,5743542032431768924,0,5,5,33,4,2,1,5
16,10,1754090216629634460,0,6,6,33,6,3,2,7
17,10,3000933636146778561,0,2,2,33,6,3,1,7
18,10,-818370409442154536,0,3,3,33,4,7,4,16
19,10,-6494085369291419358,0,2,2,37,1,6,2,16
20,10,-4831476700427871918,0,5,5,35,3,3,2,9
21,10,-7164822578341529121,0,5,5,40,2,6,3,12
22,10,-6681209751587204111,0,5,5,33,1,4,2,7
23,10,-2785428037848741191,0,2,2,35,5,5,3,12
24,10,4092339821109795117,0,7,7,34,2,8,5,17
25,10,3063383483373029763,0,2,2,34,1,9,6,27
26,10,3373133630133326305,0,3,3,36,2,8,5,22
27,10,493181087642310936,0,3,3,39,4,3,1,5
28,10,-1746716152221018267,0,1,1,33,1,4,3,10
29,10,446462409193912975,0,5,5,39,3,7,4,17
30,10,1193011675842738652,0,7,7,38,1,3,1,7
31,10,4831360065858792877,0,8,8,36,4,5,2,10
32,10,8575571794862233545,0,7,7,41,1,5,2,7
33,10,345942164528489626,0,8,8,37,1,8,4,19
34,10,7448151043156876008,0,6,6,35,1,6,3,16
35,10,5239964932791844568,0,4,4,33,4,4,3,9
36,10,-9173191548526301637,0,7,7,30,2,7,5,22
37,10,-2161688254686019728,0,5,5,40,1,5,3,13
38,10,-4645889046326623902,0,1,1,38,3,5,3,10
39,10,-4846666793570864531,0,4,4,35,1,6,4,14
40,10,8504972586755124527,0,3,3,36,3,4,1,10
41,10,2012197841368315278,0,4,4,33,2,2,1,6
42,10,-6052823257482687111,0,5,5,36,3,3,1,11
43,10,8951238588419643446,0,3,3,33,3,3,2,6
44,10,8373285886730576944,0,1,1,34,2,3,1,12
45,10,-6024011126309681497,0,1,1,38,3,3,1,8
46,10,-3199751378429683278,0,3,3,39,4,2,1,3
47,10,-205079082719447953,0,4,4,36,4,7,5,16
48,10,-1230956723516543396,0,4,4,38,3,9,5,22
49,10,9009170572123666977,0,8,8,34,2,4,1,14
50,10,502512276757557602,0,7,7,36,2,7,5,19
51,10,-6468460926580581816,0,7,7,36,4,3,2,9
52,10,-1041959172619497245,0,0,0,43,1,8,5,16
53,10,-3176141123837156967,0,6,6,38,5,3,1,8
54,10,-1250743467814938825,0,5,5,33,4,5,3,11
55,10,2802790474057045607,0,4,4,40,1,7,3,17
56,10,1594636887908444555,0,7,7,33,9,1,1,3
57,10,2247049277431032667,0,4,4,35,1,4,2,9
58,10,-2141993941735040080,0,8,8,40,4,4,3,7
59,10,4950414587910089059,0,3,3,36,1,5,3,11
60,10,4024558437153402159,0,9,9,38,1,6,2,16
61,10,8460830073364808938,0,7,7,35,5,5,4,12
62,10,-8861481111054564448,0,6,6,37,4,2,1,6
63,10,5151774012177519178,0,7,7,37,2,4,2,12
64,10,6091217547875219003,0,3,3,35,2,3,1,8
65,10,-2747216630518444674,0,6,6,36,1,8,5,20
66,10,-3120053898601644369,0,7,7,37,1,5,2,18
67,10,3034305960001825052,0,7,7,41,1,10,6,21
68,10,530950165320721202,0,6,6,42,3,3,2,6
69,10,-3239810975889385343,0,1,1,36,2,6,4,19
70,10,8355546087979150809,0,6,6,34,4,6,4,21
71,10,-469783043654121139,0,5,5,35,3,4,1,8
72,10,-8860139790373583575,0,5,5,33,1,4,3,9
73,10,3078272170296328209,0,0,0,35,2,6,3,17
74,10,1861223411033487853,0,2,2,36,6,6,3,13
75,10,6371430372172172359,0,2,2,34,5,5,3,19
76,10,558336081978973769,0,6,6,39,2,4,2,5
77,10,-4684935535263414398,0,7,7,39,1,6,3,16
78,10,4274643094731897359,0,7,7,35,2,4,3,9
79,10,-974467266348133402,0,8,8,35,1,3,2,3
80,10,2876010997474373712,0,6,6,38,2,4,2,9
81,10,2556742473257242073,0,0,0,31,2,6,4,12
82,10,3881636367721409078,0,5,5,35,2,3,2,8
83,10,-4283235462372645638,0,2,2,35,8,6,5,20
84,10,-5435618743545341167,0,4,4,35,2,5,2,13
85,10,8287095643659210833,0,6,6,35,1,4,2,10
86,10,8922802869860413870,0,4,4,32,1,2,1,10
87,10,-8768726520343391800,0,7,7,39,3,5,3,9
88,10,4372297092407986927,0,1,1,36,6,5,2,12
89,10,1825614279441251546,0,6,6,32,6,3,2,8
90,10,-8762036456603649640,0,4,4,34,1,4,2,10
91,10,3126602431026017417,0,6,6,35,3,3,2,6
92,10,-6850303691888806042,0,4,4,30,7,1,1,4
93,10,-8236622947874188139,0,3,3,37,1,5,3,9
94,10,-7308026951116254363,0,7,7,38,2,6,3,21
95,10,7503361998593243626,0,7,7,34,7,3,2,8
96,10,-5497387776322637437,0,4,4,32,1,3,1,11
97,10,-1268344063882912167,0,4,4,34,1,7,5,21
98,10,-4537393245351792801,0,2,2,35,1,3,2,9
99,10,7007109389799046027,0,6,6,36,4,6,3,23
100,10,2541384518595445350,0,3,3,37,6,2,1,3
101,10,3350996714279151922,0,4,4,33,8,2,2,4
102,10,-6122081210866785503,0,7,7,38,1,4,1,14
103,10,3642725993278335616,0,8,8,35,3,2,1,6
104,10,-6310069696443000377,0,4,4,34,6,4,2,12
105,10,1047077068562554588,0,7,7,34,3,6,5,16
106,10,-6852892927081889767,0,2,2,37,2,3,1,5
107,10,-4257256642702636589,0,5,5,35,4,5,3,13
108,10,-5029367128408372113,0,7,7,40,1,8,4,27
109,10,7607616885527668300,0,1,1,37,1,8,5,19
110,10,26434227140393485,0,5,5,36,4,2,1,6
111,10,9209768725001713919,0,0,0,37,5,5,2,11
112,10,-3085924346636983622,0,9,9,35,1,6,3,19
113,10,8675964771217511976,0,5,5,39,1,5,2,14
114,10,4907356856337128851,0,7,7,35,3,4,2,13
115,10,-4666966213610434953,0,3,3,39,7,2,1,6
116,10,-4926837390399736036,0,4,4,38,1,5,2,12
117,10,-8336891457433127094,0,0,0,37,2,6,2,15
118,10,516544900739520151,0,4,4,36,1,6,4,15
119,10,-7283127629127876067,0,4,4,35,1,6,3,13
120,10,-1032635651569392488,0,9,9,30,5,4,2,10
121,10,7769363128375121728,0,3,3,38,1,4,1,5
122,10,-430746176916896039,0,1,1,37,1,5,1,12
123,10,8651847374258448331,0,7,7,38,2,5,2,11
124,10,2224671235021342026,0,2,2,36,1,9,7,24
125,10,-1465474966042121521,0,8,8,37,4,5,4,17
126,10,5232730891868007532,0,0,0,36,2,8,5,19
127,10,1361460470342695374,0,3,3,33,4,3,1,10
128,10,-1356467568661118753,0,5,5,36,5,3,2,9
129,10,-7614506031958753172,0,3,3,39,5,7,4,15
130,10,-8971519793056376775,0,7,7,40,6,5,4,13
131,10,3022396495612605285,0,7,7,36,4,3,2,11
132,10,8290662160158026520,0,6,6,37,6,6,4,16
133,10,3843035322279117505,0,7,7,35,5,9,6,22
134,10,-5189416922603801478,0,7,7,33,3,4,2,10
135,10,-5124300315598734522,0,4,4,40,1,4,1,11
136,10,3837517114234352203,0,0,0,37,2,6,2,13
137,10,-2950185444045550802,0,3,3,30,9,3,3,5
138,10,426757442594773823,0,6,6,38,3,2,1,3
139,10,-4820788126042546662,0,4,4,33,1,5,3,14
140,10,5946862575678741986,0,3,3,34,9,1,1,4
141,10,8974981299390694470,0,2,2,36,1,2,1,7
142,10,-6087080048868049684,0,5,5,36,1,3,2,3
143,10,-3281028519374219011,0,1,1,36,2,7,3,17
144,10,8805111005440957657,0,6,6,37,3,3,1,5
145,10,-945914340663370674,0,7,7,41,6,4,2,14
146,10,3620470311692998329,0,5,5,35,2,3,1,7
147,10,-7847918107806780417,0,2,2,39,1,4,2,10
148,10,-1981419207827807164,0,1,1,34,5,4,3,10
149,10,8917890496236750785,0,8,8,36,2,5,3,11
150,10,2436476489404250417,0,5,5,36,1,3,1,8
151,10,-8587433980523025243,0,6,6,34,2,6,3,16
152,10,-6769828358835675705,0,7,7,33,6,3,1,10
153,10,-3332833132237761586,0,1,1,36,6,4,3,8
154,10,6975984797426359987,0,4,4,41,2,5,1,11
155,10,-6059495332086747032,0,1,1,37,1,6,4,18
156,10,4452296053357995548,0,1,1,35,5,2,1,3
157,10,-4323948211146815272,0,4,4,34,1,6,3,16
158,10,3776308515824177652,0,3,3,37,2,3,1,7
159,10,-2448083839464855756,0,2,2,36,1,5,2,7
160,10,-2641245394580726895,0,3,3,40,3,6,3,11
161,10,2192876119456537845,0,1,1,35,7,3,2,6
162,10,-6690699831491533701,0,3,3,34,2,4,2,8
163,10,-8242276007236563477,0,6,6,37,1,5,3,11
164,10,-5642516344152327033,0,1,1,36,1,4,2,7
165,10,-3238749104845523344,0,6,6,37,3,6,4,15
166,10,-2814418992306178780,0,6,6,35,2,3,2,6
167,10,-5673131306224066336,0,2,2,39,1,4,2,9
168,10,29831252693456372,0,1,1,32,6,5,3,17
169,10,7016585409083752008,0,3,3,35,1,4,1,10
170,10,908195957096416926,0,2,2,36,5,5,2,14
171,10,-7531173376727640483,0,8,8,36,6,4,4,6
172,10,7209757496494277090,0,5,5,38,3,4,2,9
173,10,5291995938437694126,0,8,8,34,4,5,3,7
174,10,5880094698660718061,0,5,5,41,1,6,2,8
175,10,-7265269715823122147,0,6,6,42,2,4,2,9
176,10,-4873275261915122194,0,0,0,33,4,5,3,12
177,10,-1159345103379502709,0,3,3,38,3,5,2,11
178,10,-5555833939274768152,0,6,6,34,6,3,2,8
179,10,-6221400059438910766,0,5,5,39,6,5,3,15
180,10,-5951664687497584183,0,3,3,36,6,9,7,23
181,10,-5112357295890222344,0,9,9,37,1,13,8,27
182,10,-1298152709108151108,0,5,5,37,1,7,3,20
183,10,-6119810466464770400,0,7,7,37,5,5,3,14
184,10,2502297348298907067,0,5,5,34,2,2,1,9
185,10,5240029132549311427,0,5,5,34,2,4,2,12
186,10,2849857456777649255,0,3,3,34,9,1,1,3
187,10,5357231713588214688,0,1,1,39,6,4,1,9
188,10,2470418174820690203,0,8,8,33,1,4,2,10
189,10,-4205413717588758543,0,8,8,34,1,5,3,16
190,10,-190994909066885314,0,3,3,41,3,5,2,10
191,10,5643015977550698334,0,3,3,33,4,5,3,17
192,10,-6149718818074887976,0,4,4,42,2,6,2,16
193,10,-5292947416913470154,0,5,5,43,3,5,2,15
194,10,7725237031423721319,0,1,1,35,2,5,2,13
195,10,-5657309207377328036,0,8,8,35,1,6,3,18
196,10,5671188520636863987,0,5,5,39,1,6,3,15
197,10,-8067556877535570561,0,3,3,34,6,3,2,11
198,10,1388559965909645408,0,2,2,40,2,6,3,16
199,10,-1541781829703729011,0,1,1,38,4,6,4,11
200,10,-4692008703275938814,0,6,6,29,5,4,3,10
201,10,5921825753287209320,0,2,2,33,5,2,2,4
202,10,-7215400166977438346,0,4,4,34,1,4,3,13
203,10,7205195152113270746,0,5,5,36,3,4,2,10
204,10,8555390363154737071,0,2,2,40,1,8,3,20
205,10,-6544356438121168186,0,6,6,34,5,3,2,8
206,10,-24092370755839921,0,5,5,32,4,3,2,8
207,10,-840322277581955423,0,8,8,37,1,8,5,18
208,10,5998048010865198391,0,4,4,38,1,9,4,23
209,10,-4847606256852973793,0,2,2,40,1,6,4,15
210,10,-2380848368725129375,0,5,5,37,3,5,3,14
211,10,5147840700923570224,0,7,7,37,2,4,2,11
212,10,-1353014960296005908,0,4,4,34,4,2,1,2
213,10,-1598501290525054419,0,2,2,31,2,6,4,13
214,10,1961923140490118264,0,6,6,39,1,3,1,9
215,10,-8505615486224464562,0,8,8,35,5,2,1,6
216,10,3517719450423692212,0,2,2,39,8,2,1,6
217,10,3105389479535564896,0,9,9,33,3,5,3,18
218,10,5214840725170559796,0,1,1,38,1,4,1,8
219,10,6293562631990310579,0,4,4,32,1,5,3,17
220,10,-3335407372536324729,0,0,0,35,2,6,3,11
221,10,4329349046570819928,0,5,5,41,3,5,3,12
222,10,-3946251753802068088,0,3,3,33,1,5,3,14
223,10,-2497641178949689460,0,5,5,41,4,5,3,10
224,10,-1598467579073753100,0,0,0,37,2,8,3,16
225,10,-7219157151722771858,0,4,4,36,2,4,2,14
226,10,-4661110030385310659,0,2,2,38,1,8,5,21
227,10,7268898499307905016,0,1,1,36,5,3,2,10
228,10,5073513302777484957,0,6,6,41,2,3,1,4
229,10,-4340584654648921812,0,1,1,37,3,3,1,6
230,10,5747655616131207533,0,4,4,33,1,4,1,13
231,10,-853986668421251187,0,6,6,29,9,3,3,7
232,10,-6485978991128421450,0,5,5,35,1,5,2,14
233,10,5768638224355024336,0,5,5,33,3,4,2,13
234,10,2458075869634312968,0,3,3,40,5,7,3,17
235,10,-8489808341758400557,0,3,3,30,1,2,1,6
236,10,8024946309956992650,0,0,0,37,3,5,2,15
237,10,3052355172840400334,0,5,5,36,1,7,5,15
238,10,7442647678929516370,0,4,4,44,3,4,2,9
239,10,-8626307378104996153,0,5,5,34,1,4,2,8
240,10,4089073642559267318,0,2,2,34,1,4,1,12
241,10,-2236296439523492277,0,3,3,37,2,4,2,9
242,10,3016743768788637027,0,2,2,37,2,5,3,12
243,10,4188166251872219482,0,8,8,37,1,8,6,21
244,10,-3762730370391684372,0,4,4,37,4,3,1,6
245,10,3740820769933958818,0,6,6,38,2,4,2,11
246,10,2497223835397723045,0,5,5,35,1,5,3,15
247,10,1245211740268461552,0,7,7,33,2,5,2,18
248,10,3596120228953640690,0,6,6,36,4,3,2,11
249,10,-8485958391061015837,0,2,2,36,2,4,1,8
250,10,-3530187989459650982,0,6,6,31,7,3,2,8
251,10,1557329990257135330,0,3,3,39,4,3,2,6
252,10,-5014070775909231968,0,3,3,37,6,2,1,2
253,10,8185066700082241103,0,5,5,39,2,9,5,21
254,10,1187857640806559252,0,5,5,37,4,2,1,5
255,10,4592621929158808828,0,2,2,38,3,4,1,9
256,10,-2733519790676682714,0,2,2,35,1,3,2,9
257,10,-9010965276370915874,0,7,7,39,4,2,1,4
258,10,3441661738905144891,0,3,3,35,3,8,5,21
259,10,-1194913879455673857,0,5,5,38,6,5,3,10
260,10,4193196702897053123,0,2,2,35,3,4,1,11
261,10,506810623762930361,0,5,5,40,2,3,2,4
262,10,-5265939102537952373,0,0,0,40,3,6,2,16
263,10,8342510994338939680,0,5,5,40,4,5,2,7
264,10,5449764782182861903,0,5,5,40,3,5,2,9
265,10,9057600608023772352,0,8,8,32,5,3,2,10
266,10,4141399907197696659,0,2,2,41,3,5,3,12
267,10,-6377290153117213817,0,7,7,34,4,6,4,14
268,10,4028413048081249714,0,7,7,36,1,4,2,12
269,10,-4936952770567959292,0,9,9,34,4,3,1,10
270,10,-3833402471891802570,0,4,4,36,7,5,3,11
271,10,-611234609857737006,0,1,1,37,6,5,3,12
272,10,1836329554843149162,0,7,7,39,1,4,1,4
273,10,-6271604032169027506,0,4,4,34,1,5,3,14
274,10,-7649378181101267410,0,6,6,40,1,7,4,18
275,10,-4117742096427242609,0,8,8,38,5,5,4,7
276,10,-426418587539229430,0,1,1,34,5,7,5,17
277,10,-3482144798703779433,0,3,3,37,5,4,1,9
278,10,-4380576730621465212,0,0,0,40,1,6,2,11
279,10,471985320383546821,0,6,6,37,3,4,3,9
280,10,3767412502644510389,0,6,6,34,5,4,3,12
281,10,-3981726802433878898,0,3,3,35,6,5,4,8
282,10,-7129907778307929831,0,6,6,36,3,5,3,11
283,10,353075872508588396,0,3,3,31,2,4,2,14
284,10,8933881702211590055,0,2,2,33,2,4,3,10
285,10,5870060683144538133,0,5,5,36,2,6,3,10
286,10,-6167737670428187103,0,2,2,31,9,2,2,8
287,10,-1481915643660530448,0,5,5,34,4,2,1,7
288,10,-42555890764871508,0,5,5,37,6,3,2,7
289,10,4789677843557388484,0,1,1,36,1,6,4,6
290,10,5603914325809731747,0,5,5,36,3,5,2,13
291,10,2257671157984811954,0,3,3,40,1,6,3,11
292,10,-3981914003719714137,0,6,6,34,4,6,4,17
293,10,-1854622150355557531,0,8,8,38,3,4,1,12
294,10,5561257292223402490,0,4,4,36,5,4,2,7
295,10,-4884363201328877433,0,7,7,34,2,6,4,14
296,10,-4139487150730386163,0,0,0,42,1,4,1,7
297,10,3760748672159352694,0,7,7,42,3,4,2,12
298,10,-8354605131265263785,0,7,7,38,2,6,4,14
299,10,-5942291489905924041,0,6,6,34,2,7,5,21
300,10,-6366786982554665881,0,5,5,43,1,4,2,11
301,10,4987517799179524522,0,4,4,34,5,4,3,15
302,10,2993790680894572604,0,4,4,33,3,6,3,20
303,10,9148108519035745279,0,4,4,41,1,5,2,13
304,10,356053416089542868,0,7,7,37,4,6,4,13
305,10,-1153170656627237272,0,1,1,38,4,3,1,8
306,10,2893755259742999810,0,2,2,36,3,3,1,6
307,10,-2846964163748940784,0,8,8,34,1,5,3,12
308,10,3066658862155213956,0,1,1,40,2,4,1,5
309,10,-2727414419329055670,0,3,3,34,8,1,1,2
310,10,-4763808482497477292,0,5,5,39,2,5,2,13
311,10,-4663998541886316019,0,8,8,32,3,10,8,32
312,10,3401440039618196030,0,2,2,36,3,5,3,9
313,10,8411459461634897568,0,5,5,39,6,5,4,12
314,10,7940202431231995570,0,4,4,34,1,5,3,16
315,10,2320893009249504145,0,5,5,34,3,3,1,6
316,10,-1189509341924688933,0,6,6,34,5,2,2,4
